車種 出發時間 抵達時間
區間快2011 05:35 08:11
區間2133 06:07 09:47
莒光1 06:20 08:40
自強103 06:39 09:15
自強105 07:10 09:32
區間2143 07:14 10:42
莒光507 07:24 10:59
區間2153 08:13 11:51
自強109 08:23 10:51
自強113 08:38 10:54
自強115 09:09 11:32
區間2163 09:16 12:41
莒光509 09:27 12:35
自強117 10:10 12:29
區間2173 10:15 13:42
自強121 11:10 13:29
區間2183 11:16 14:44
莒光513 11:28 14:39
自強123 12:08 14:29
區間2193 12:17 15:59
普悠瑪271 12:53 14:49
自強125 13:10 15:35
區間2203 13:14 16:45
莒光561 13:52 17:10
自強129 14:10 16:26
區間2213 14:15 17:51
自強135 15:10 17:30
區間2223 15:24 18:59
普悠瑪273 15:53 17:37
自強175 16:10 18:29
莒光521 16:14 19:37
區間2233 16:20 19:48
自強139 17:10 19:29
區間2243 17:14 20:45
區間快2033 17:33 20:30
自強141 17:40 20:02
自強177 18:00 20:34
區間2253 18:04 21:48
自強145 18:20 21:03
自強147 18:52 21:19
區間2263 18:59 22:46
自強149 19:10 21:30
莒光653 19:30 22:50
自強181 19:40 21:56
區間2273 20:16 23:55
普悠瑪283 20:23 22:12
太魯閣285 20:43 22:55
自強155 21:10 23:32
